Farm,Type,Year,Round,Bees,Floral
Farm1,ELS,2013,1,54,96921
Farm1,ELS,2013,2,270,93467
Farm1,ELS,2013,3,462,72304
Farm1,ELS,2014,1,70,75532
Farm1,ELS,2014,2,388,13192
Farm1,ELS,2014,3,312,25436
Farm10,HLS,2013,1,472,29426
Farm10,HLS,2013,2,331,61737
Farm10,HLS,2013,3,383,24306
Farm10,HLS,2014,1,400,42995
Farm10,HLS,2014,2,287,6883
Farm10,HLS,2014,3,91,65496
Farm11,ELS,2013,1,408,56277
Farm11,ELS,2013,2,258,78975
Farm11,ELS,2013,3,78,75539
Farm11,ELS,2014,1,320,12658
Farm11,ELS,2014,2,75,12335
Farm11,ELS,2014,3,417,89800
Farm12,ELS,2013,1,320,19075
Farm12,ELS,2013,2,324,15250
Farm12,ELS,2013,3,298,33300
Farm12,ELS,2014,1,356,38619
Farm12,ELS,2014,2,260,81162
Farm12,ELS,2014,3,41,24683
Farm13,HLS,2013,1,303,91200
Farm13,HLS,2013,2,150,39598
Farm13,HLS,2013,3,19,89291
Farm13,HLS,2014,1,301,37500
Farm13,HLS,2014,2,500,43847
Farm13,HLS,2014,3,443,38049
Farm14,ELS,2013,1,301,21978
Farm14,ELS,2013,2,193,92552
Farm14,ELS,2013,3,84,87619
Farm14,ELS,2014,1,371,45645
Farm14,ELS,2014,2,166,61735
Farm14,ELS,2014,3,18,33366
Farm15,HLS,2013,1,343,17880
Farm15,HLS,2013,2,406,58569
Farm15,HLS,2013,3,445,6927
Farm15,HLS,2014,1,306,80866
Farm15,HLS,2014,2,59,64266
Farm15,HLS,2014,3,329,81801
Farm16,HLS,2013,1,240,35645
Farm16,HLS,2013,2,459,74054
Farm16,HLS,2013,3,126,6656
Farm16,HLS,2014,1,160,19260
Farm16,HLS,2014,2,399,99552
Farm16,HLS,2014,3,205,32827
Farm17,ELS,2013,1,62,36632
Farm17,ELS,2013,2,493,90098
Farm17,ELS,2013,3,60,15119
Farm17,ELS,2014,1,386,76211
Farm17,ELS,2014,2,251,86528
Farm17,ELS,2014,3,205,71493
Farm18,HLS,2013,1,3,44970
Farm18,HLS,2013,2,248,17753
Farm18,HLS,2013,3,426,93959
Farm18,HLS,2014,1,229,91475
Farm18,HLS,2014,2,164,68086
Farm18,HLS,2014,3,297,13613
Farm19,ELS,2013,1,238,91907
Farm19,ELS,2013,2,150,27526
Farm19,ELS,2013,3,296,96144
Farm19,ELS,2014,1,122,16229
Farm19,ELS,2014,2,9,53850
Farm19,ELS,2014,3,57,53358
Farm2,HLS,2013,1,269,97119
Farm2,HLS,2013,2,484,30733
Farm2,HLS,2013,3,340,91425
Farm2,HLS,2014,1,87,62286
Farm2,HLS,2014,2,53,44452
Farm2,HLS,2014,3,63,58903
Farm4,HLS,2013,1,193,33136
Farm4,HLS,2013,2,494,91910
