Farm,Type,Year,Round,Bees,Floral
Farm1,ELS,2013,1,323,15729
Farm1,ELS,2013,2,114,37627
Farm1,ELS,2013,3,100,53619
Farm1,ELS,2014,1,114,21725
Farm1,ELS,2014,2,11,7512
Farm1,ELS,2014,3,397,93508
Farm10,HLS,2013,1,266,57995
Farm10,HLS,2013,2,208,97290
Farm10,HLS,2013,3,437,89771
Farm10,HLS,2014,1,250,20013
Farm10,HLS,2014,2,45,69072
Farm10,HLS,2014,3,479,52612
Farm11,ELS,2013,1,391,48678
Farm11,ELS,2013,2,436,53541
Farm11,ELS,2013,3,10,75442
Farm11,ELS,2014,1,340,99292
Farm11,ELS,2014,2,456,10933
Farm11,ELS,2014,3,23,64154
Farm12,ELS,2013,1,106,65016
Farm12,ELS,2013,2,291,91421
Farm12,ELS,2013,3,464,31804
Farm12,ELS,2014,1,258,35195
Farm12,ELS,2014,2,355,47136
Farm12,ELS,2014,3,122,37265
Farm13,HLS,2013,1,458,87126
Farm13,HLS,2013,2,405,51580
Farm13,HLS,2013,3,407,79077
Farm13,HLS,2014,1,155,95734
Farm13,HLS,2014,2,268,77378
Farm13,HLS,2014,3,372,28941
Farm14,ELS,2013,1,28,74306
Farm14,ELS,2013,2,233,74030
Farm14,ELS,2013,3,169,27200
Farm14,ELS,2014,1,206,11438
Farm14,ELS,2014,2,304,61048
Farm14,ELS,2014,3,401,32889
Farm15,HLS,2013,1,17,55512
Farm15,HLS,2013,2,405,96584
Farm15,HLS,2013,3,1,22381
Farm15,HLS,2014,1,49,5516
Farm15,HLS,2014,2,73,75049
Farm15,HLS,2014,3,33,65075
Farm16,HLS,2013,1,131,58817
Farm16,HLS,2013,2,453,22979
Farm16,HLS,2013,3,156,32186
Farm16,HLS,2014,1,147,22567
Farm16,HLS,2014,2,132,74654
Farm16,HLS,2014,3,172,94581
Farm17,ELS,2013,1,64,66116
Farm17,ELS,2013,2,307,11857
Farm17,ELS,2013,3,54,24561
Farm17,ELS,2014,1,30,63319
Farm17,ELS,2014,2,383,13822
Farm17,ELS,2014,3,133,14852
Farm18,HLS,2013,1,300,46751
Farm18,HLS,2013,2,469,95979
Farm18,HLS,2013,3,272,8700
Farm18,HLS,2014,1,54,38726
Farm18,HLS,2014,2,242,30888
Farm18,HLS,2014,3,188,65229
Farm19,ELS,2013,1,158,13330
Farm19,ELS,2013,2,355,52323
Farm19,ELS,2013,3,329,70581
Farm19,ELS,2014,1,92,42370
Farm19,ELS,2014,2,13,60466
Farm19,ELS,2014,3,383,15983
Farm2,HLS,2013,1,54,55971
Farm2,HLS,2013,2,483,47299
Farm2,HLS,2013,3,400,20916
Farm2,HLS,2014,1,114,39784
Farm2,HLS,2014,2,21,30632
Farm2,HLS,2014,3,277,37995
Farm4,HLS,2013,1,223,34325
Farm4,HLS,2013,2,444,64224
Farm4,HLS,2013,3,345,12248
Farm4,HLS,2014,1,273,36658
Farm4,HLS,2014,2,466,39520
Farm4,HLS,2014,3,125,36706
Farm5,ELS,2013,1,477,46453
Farm5,ELS,2013,2,483,8745
Farm5,ELS,2013,3,69,11213
Farm5,ELS,2014,1,366,98152
Farm5,ELS,2014,2,428,16034
Farm5,ELS,2014,3,74,25910
Farm6,ELS,2013,1,43,44553
Farm6,ELS,2013,2,396,12388
Farm6,ELS,2013,3,77,5577
Farm6,ELS,2014,1,196,30530
Farm6,ELS,2014,2,111,20522
Farm6,ELS,2014,3,151,65914
Farm7,ELS,2013,1,254,77284
Farm7,ELS,2013,2,127,75161
Farm7,ELS,2013,3,205,75252
Farm7,ELS,2014,1,359,29115
Farm7,ELS,2014,2,317,10911
Farm7,ELS,2014,3,469,19895
Farm8,HLS,2013,1,106,96203
Farm8,HLS,2013,2,206,33384
Farm8,HLS,2013,3,201,66192
Farm8,HLS,2014,1,330,66278
Farm8,HLS,2014,2,409,87195
Farm8,HLS,2014,3,406,33900
Farm9,HLS,2013,1,494,21434
