Farm,Type,Year,Round,Bees,Floral
Farm1,ELS,2013,1,406,62374
Farm1,ELS,2013,2,16,68321
Farm1,ELS,2013,3,380,73824
Farm1,ELS,2014,1,164,33291
Farm1,ELS,2014,2,224,86849
Farm1,ELS,2014,3,373,9335
Farm10,HLS,2013,1,19,24154
Farm10,HLS,2013,2,153,43140
Farm10,HLS,2013,3,15,82542
Farm10,HLS,2014,1,194,42755
Farm10,HLS,2014,2,146,44005
Farm10,HLS,2014,3,318,85217
Farm11,ELS,2013,1,408,10916
Farm11,ELS,2013,2,96,83973
Farm11,ELS,2013,3,166,25760
Farm11,ELS,2014,1,449,63576
Farm11,ELS,2014,2,483,16295
Farm11,ELS,2014,3,412,22838
Farm12,ELS,2013,1,402,84603
Farm12,ELS,2013,2,122,47979
Farm12,ELS,2013,3,31,13580
Farm12,ELS,2014,1,87,46228
Farm12,ELS,2014,2,162,88239
Farm12,ELS,2014,3,274,65037
Farm13,HLS,2013,1,62,56251
Farm13,HLS,2013,2,268,79542
Farm13,HLS,2013,3,84,63444
Farm13,HLS,2014,1,204,14183
Farm13,HLS,2014,2,403,97889
Farm13,HLS,2014,3,339,64914
Farm14,ELS,2013,1,1,46931
Farm14,ELS,2013,2,152,7965
Farm14,ELS,2013,3,162,58485
Farm14,ELS,2014,1,269,41201
Farm14,ELS,2014,2,185,33983
Farm14,ELS,2014,3,75,53859
Farm15,HLS,2013,1,465,14582
Farm15,HLS,2013,2,150,11082
Farm15,HLS,2013,3,177,20098
Farm15,HLS,2014,1,86,92495
Farm15,HLS,2014,2,102,89471
Farm15,HLS,2014,3,24,95100
Farm16,HLS,2013,1,252,89358
Farm16,HLS,2013,2,185,69839
Farm16,HLS,2013,3,488,21069
Farm16,HLS,2014,1,431,99717
Farm16,HLS,2014,2,181,22277
Farm16,HLS,2014,3,417,82882
Farm17,ELS,2013,1,243,66931
Farm17,ELS,2013,2,343,9020
Farm17,ELS,2013,3,96,37936
Farm17,ELS,2014,1,156,57512
Farm17,ELS,2014,2,391,19923
Farm17,ELS,2014,3,355,99186
Farm18,HLS,2013,1,282,47378
Farm18,HLS,2013,2,11,26540
Farm18,HLS,2013,3,487,43608
Farm18,HLS,2014,1,302,40323
Farm18,HLS,2014,2,353,45435
Farm18,HLS,2014,3,320,7098
Farm19,ELS,2013,1,210,40307
Farm19,ELS,2013,2,339,96970
Farm19,ELS,2013,3,152,76852
Farm19,ELS,2014,1,152,65323
Farm19,ELS,2014,2,128,12742
Farm19,ELS,2014,3,245,42476
Farm2,HLS,2013,1,189,82551
Farm2,HLS,2013,2,150,34495
Farm2,HLS,2013,3,333,31353
Farm2,HLS,2014,1,49,11908
Farm2,HLS,2014,2,457,6843
Farm2,HLS,2014,3,492,9005
Farm4,HLS,2013,1,378,24849
Farm4,HLS,2013,2,222,79517
Farm4,HLS,2013,3,149,27289
Farm4,HLS,2014,1,105,47754
Farm4,HLS,2014,2,323,92245
Farm4,HLS,2014,3,209,32635
Farm5,ELS,2013,1,383,54187
Farm5,ELS,2013,2,366,17141
Farm5,ELS,2013,3,14,42095
Farm5,ELS,2014,1,154,35819
Farm5,ELS,2014,2,245,11282
Farm5,ELS,2014,3,246,16264
Farm6,ELS,2013,1,121,84972
Farm6,ELS,2013,2,188,17046
Farm6,ELS,2013,3,425,15009
Farm6,ELS,2014,1,289,52303
Farm6,ELS,2014,2,134,32798
Farm6,ELS,2014,3,108,22596
Farm7,ELS,2013,1,285,62394
Farm7,ELS,2013,2,299,84097
Farm7,ELS,2013,3,409,30670
Farm7,ELS,2014,1,262,84963
Farm7,ELS,2014,2,168,69060
Farm7,ELS,2014,3,81,14739
