Farm,Type,Year,Round,Bees,Floral
Farm1,ELS,2013,1,168,94757
Farm1,ELS,2013,2,176,12615
Farm1,ELS,2013,3,302,23002
Farm1,ELS,2014,1,431,62812
Farm1,ELS,2014,2,224,41912
Farm1,ELS,2014,3,270,73151
Farm10,HLS,2013,1,152,7080
Farm10,HLS,2013,2,179,70941
Farm10,HLS,2013,3,489,49207
Farm10,HLS,2014,1,437,48093
Farm10,HLS,2014,2,111,60479
Farm10,HLS,2014,3,1,95527
Farm11,ELS,2013,1,201,75331
Farm11,ELS,2013,2,227,67309
Farm11,ELS,2013,3,478,41461
Farm11,ELS,2014,1,112,14012
Farm11,ELS,2014,2,172,91707
Farm11,ELS,2014,3,307,42009
Farm12,ELS,2013,1,1,44411
Farm12,ELS,2013,2,257,28659
Farm12,ELS,2013,3,9,31145
Farm12,ELS,2014,1,389,71781
Farm12,ELS,2014,2,98,34880
Farm12,ELS,2014,3,312,79401
Farm13,HLS,2013,1,373,62445
Farm13,HLS,2013,2,396,28963
Farm13,HLS,2013,3,476,45095
Farm13,HLS,2014,1,458,35559
Farm13,HLS,2014,2,31,91011
Farm13,HLS,2014,3,7,72707
Farm14,ELS,2013,1,19,57454
Farm14,ELS,2013,2,135,15348
Farm14,ELS,2013,3,100,31425
Farm14,ELS,2014,1,137,18742
Farm14,ELS,2014,2,2,90506
Farm14,ELS,2014,3,449,63458
Farm15,HLS,2013,1,378,23961
Farm15,HLS,2013,2,92,7551
Farm15,HLS,2013,3,266,52595
Farm15,HLS,2014,1,11,92012
Farm15,HLS,2014,2,303,39628
Farm15,HLS,2014,3,109,71965
Farm16,HLS,2013,1,6,91792
Farm16,HLS,2013,2,426,54643
Farm16,HLS,2013,3,82,61148
Farm16,HLS,2014,1,103,79141
Farm16,HLS,2014,2,45,16123
Farm16,HLS,2014,3,104,20182
Farm17,ELS,2013,1,42,19824
Farm17,ELS,2013,2,486,61144
Farm17,ELS,2013,3,417,16792
Farm17,ELS,2014,1,147,71560
Farm17,ELS,2014,2,298,29139
Farm17,ELS,2014,3,159,55001
Farm18,HLS,2013,1,479,88716
Farm18,HLS,2013,2,452,8472
Farm18,HLS,2013,3,179,64654
Farm18,HLS,2014,1,447,90036
Farm18,HLS,2014,2,89,36610
Farm18,HLS,2014,3,134,42983
Farm19,ELS,2013,1,144,69109
Farm19,ELS,2013,2,142,89130
Farm19,ELS,2013,3,95,65971
Farm19,ELS,2014,1,165,85971
Farm19,ELS,2014,2,49,92369
Farm19,ELS,2014,3,437,34930
Farm2,HLS,2013,1,264,73949
Farm2,HLS,2013,2,494,31782
Farm2,HLS,2013,3,170,91105
Farm2,HLS,2014,1,84,54327
Farm2,HLS,2014,2,59,89183
Farm2,HLS,2014,3,189,66958
Farm4,HLS,2013,1,458,21492
Farm4,HLS,2013,2,243,88043
Farm4,HLS,2013,3,312,68529
Farm4,HLS,2014,1,148,71563
Farm4,HLS,2014,2,244,79834
Farm4,HLS,2014,3,82,75769
Farm5,ELS,2013,1,20,40918
Farm5,ELS,2013,2,7,63811
Farm5,ELS,2013,3,343,17777
Farm5,ELS,2014,1,280,11051
Farm5,ELS,2014,2,22,90521
Farm5,ELS,2014,3,332,22913
Farm6,ELS,2013,1,401,75941
Farm6,ELS,2013,2,484,51562
Farm6,ELS,2013,3,454,61451
Farm6,ELS,2014,1,491,9984
Farm6,ELS,2014,2,334,47512
Farm6,ELS,2014,3,435,32148
Farm7,ELS,2013,1,9,75337
Farm7,ELS,2013,2,10,46811
Farm7,ELS,2013,3,24,86537
Farm7,ELS,2014,1,161,29129
Farm7,ELS,2014,2,403,97221
Farm7,ELS,2014,3,481,6925
Farm8,HLS,2013,1,59,78780
Farm8,HLS,2013,2,78,26985
Farm8,HLS,2013,3,268,84040
Farm8,HLS,2014,1,284,73735
Farm8,HLS,2014,2,207,66124
