Farm,Type,Year,Round,Bees,Floral
Farm1,ELS,2013,1,221,67308
Farm1,ELS,2013,2,370,85658
Farm1,ELS,2013,3,128,94818
Farm1,ELS,2014,1,268,34798
Farm1,ELS,2014,2,198,95404
Farm1,ELS,2014,3,312,65545
Farm10,HLS,2013,1,2,58817
Farm10,HLS,2013,2,79,28047
Farm10,HLS,2013,3,278,10474
Farm10,HLS,2014,1,477,36048
Farm10,HLS,2014,2,250,13969
Farm10,HLS,2014,3,407,56187
Farm11,ELS,2013,1,258,52421
Farm11,ELS,2013,2,180,33383
Farm11,ELS,2013,3,423,89838
Farm11,ELS,2014,1,388,39400
Farm11,ELS,2014,2,170,72144
Farm11,ELS,2014,3,123,94732
Farm12,ELS,2013,1,151,99160
Farm12,ELS,2013,2,457,67526
Farm12,ELS,2013,3,318,11909
Farm12,ELS,2014,1,241,87573
Farm12,ELS,2014,2,9,91585
Farm12,ELS,2014,3,50,29495
Farm13,HLS,2013,1,400,78479
Farm13,HLS,2013,2,56,39671
Farm13,HLS,2013,3,322,5274
Farm13,HLS,2014,1,352,5787
Farm13,HLS,2014,2,473,98479
Farm13,HLS,2014,3,121,80628
Farm14,ELS,2013,1,378,62306
Farm14,ELS,2013,2,359,61452
Farm14,ELS,2013,3,175,20884
Farm14,ELS,2014,1,222,31648
Farm14,ELS,2014,2,219,71390
Farm14,ELS,2014,3,472,82548
Farm15,HLS,2013,1,179,64977
Farm15,HLS,2013,2,110,87259
Farm15,HLS,2013,3,240,99664
Farm15,HLS,2014,1,329,68176
Farm15,HLS,2014,2,76,86801
Farm15,HLS,2014,3,131,90324
Farm16,HLS,2013,1,27,78918
Farm16,HLS,2013,2,426,76580
Farm16,HLS,2013,3,73,16676
Farm16,HLS,2014,1,321,9372
Farm16,HLS,2014,2,303,21743
Farm16,HLS,2014,3,173,61688
Farm17,ELS,2013,1,359,12443
Farm17,ELS,2013,2,445,21336
Farm17,ELS,2013,3,271,87557
Farm17,ELS,2014,1,460,50459
Farm17,ELS,2014,2,231,65666
Farm17,ELS,2014,3,246,27563
Farm18,HLS,2013,1,372,82084
Farm18,HLS,2013,2,383,66218
Farm18,HLS,2013,3,483,28066
Farm18,HLS,2014,1,304,97663
Farm18,HLS,2014,2,300,22208
Farm18,HLS,2014,3,19,80997
Farm19,ELS,2013,1,10,20708
Farm19,ELS,2013,2,95,41792
Farm19,ELS,2013,3,223,52722
Farm19,ELS,2014,1,146,6943
Farm19,ELS,2014,2,157,20416
Farm19,ELS,2014,3,445,96896
Farm2,HLS,2013,1,304,65867
Farm2,HLS,2013,2,66,50114
Farm2,HLS,2013,3,426,72588
Farm2,HLS,2014,1,452,39441
Farm2,HLS,2014,2,497,82287
Farm2,HLS,2014,3,359,48589
Farm4,HLS,2013,1,177,27685
Farm4,HLS,2013,2,433,21002
Farm4,HLS,2013,3,346,21913
Farm4,HLS,2014,1,185,98027
Farm4,HLS,2014,2,364,48239
Farm4,HLS,2014,3,21,30426
Farm5,ELS,2013,1,427,73693
Farm5,ELS,2013,2,49,20853
Farm5,ELS,2013,3,66,92415
Farm5,ELS,2014,1,73,81556
Farm5,ELS,2014,2,388,62795
Farm5,ELS,2014,3,64,23721
Farm6,ELS,2013,1,378,15967
Farm6,ELS,2013,2,209,26968
Farm6,ELS,2013,3,426,92183
Farm6,ELS,2014,1,259,51052
Farm6,ELS,2014,2,103,9241
Farm6,ELS,2014,3,78,94265
Farm7,ELS,2013,1,365,53737
Farm7,ELS,2013,2,459,58699
Farm7,ELS,2013,3,43,89467
Farm7,ELS,2014,1,183,62854
Farm7,ELS,2014,2,162,18075
Farm7,ELS,2014,3,51,15025
Farm8,HLS,2013,1,288,15771
Farm8,HLS,2013,2,217,59429
Farm8,HLS,2013,3,18,6184
Farm8,HLS,2014,1,317,42735
Farm8,HLS,2014,2,46,30726
Farm8,HLS,2014,3,425,37415
Farm9,HLS,2013,1,168,25422
Farm9,HLS,2013,2,23,55233
Farm9,HLS,2013,3,121,42608
Farm9,HLS,2014,1,127,42134
Farm9,HLS,2014,2,32,40524
Farm9,HLS,2014,3,68,34408
Farm20,HLS,2013,1,151,84096
Farm20,HLS,2013,2,391,28341
Farm20,HLS,2013,3,256,14964
Farm20,HLS,2014,1,499,59279
Farm20,HLS,2014,2,111,63637
Farm20,HLS,2014,3,118,13404
Farm21,HLS,2013,1,331,8652
Farm21,HLS,2013,2,303,99440
Farm21,HLS,2013,3,146,9598
Farm21,HLS,2014,1,494,32733
Farm21,HLS,2014,2,183,30978
Farm21,HLS,2014,3,281,72351
Farm22,HLS,2013,1,115,98062
Farm22,HLS,2013,2,451,75439
Farm22,HLS,2013,3,316,52335
Farm22,HLS,2014,1,244,19121
Farm22,HLS,2014,2,271,17251
Farm22,HLS,2014,3,466,69519
Farm23,HLS,2013,1,189,37805
Farm23,HLS,2013,2,199,42591
Farm23,HLS,2013,3,204,13687
Farm23,HLS,2014,1,90,88971
Farm23,HLS,2014,2,200,91600
Farm23,HLS,2014,3,229,78434
Farm24,HLS,2013,1,366,29034
Farm24,HLS,2013,2,237,28537
Farm24,HLS,2013,3,279,17424
Farm24,HLS,2014,1,240,68088
Farm24,HLS,2014,2,151,8734
Farm24,HLS,2014,3,411,73562
Farm25,ELS,2013,1,9,63274
Farm25,ELS,2013,2,339,12629
Farm25,ELS,2013,3,366,86263
Farm25,ELS,2014,1,220,95565
Farm25,ELS,2014,2,271,32609
Farm25,ELS,2014,3,49,15231
Farm26,HLS,2013,1,419,39186
Farm26,HLS,2013,2,464,86383
Farm26,HLS,2013,3,37,39197
Farm26,HLS,2014,1,259,89777
Farm26,HLS,2014,2,391,42625
Farm26,HLS,2014,3,38,8065
Farm27,HLS,2013,1,153,61705
Farm27,HLS,2013,2,178,11451
Farm27,HLS,2013,3,415,34908
Farm27,HLS,2014,1,166,97207
Farm27,HLS,2014,2,260,16409
Farm27,HLS,2014,3,391,61599
Farm28,ELS,2013,1,61,38752
Farm28,ELS,2013,2,408,16486
Farm28,ELS,2013,3,307,67773
Farm28,ELS,2014,1,344,46031
Farm28,ELS,2014,2,136,72299
Farm28,ELS,2014,3,300,97065
Farm29,HLS,2013,1,150,89036
Farm29,HLS,2013,2,271,77438
Farm29,HLS,2013,3,395,8212
Farm29,HLS,2014,1,493,83582
Farm29,HLS,2014,2,326,98403
Farm29,HLS,2014,3,339,57626
Farm30,HLS,2013,1,58,96042
Farm30,HLS,2013,2,399,92174
Farm30,HLS,2013,3,208,74813
Farm30,HLS,2014,1,321,18269
Farm30,HLS,2014,2,39,32973
Farm30,HLS,2014,3,169,40983
Farm31,ELS,2013,1,194,41567
Farm31,ELS,2013,2,150,65823
Farm31,ELS,2013,3,45,38855
Farm31,ELS,2014,1,130,83483
Farm31,ELS,2014,2,101,59954
Farm31,ELS,2014,3,15,16564
Farm32,ELS,2013,1,149,75651
Farm32,ELS,2013,2,357,49752
Farm32,ELS,2013,3,321,33046
Farm32,ELS,2014,1,185,57382
Farm32,ELS,2014,2,210,54707
Farm32,ELS,2014,3,416,8395
Farm33,ELS,2013,1,488,35243
Farm33,ELS,2013,2,420,51878
Farm33,ELS,2013,3,379,66779
Farm33,ELS,2014,1,43,32595
Farm33,ELS,2014,2,52,46964
Farm33,ELS,2014,3,199,73088
Farm34,ELS,2013,1,202,43085
Farm34,ELS,2013,2,388,30299
Farm34,ELS,2013,3,225,62004
Farm34,ELS,2014,1,295,70777
Farm34,ELS,2014,2,118,75218
Farm34,ELS,2014,3,54,93361
Farm35,ELS,2013,1,357,76238
Farm35,ELS,2013,2,53,35053
Farm35,ELS,2013,3,60,69548
Farm35,ELS,2014,1,111,71194
