Farm,Type,Year,Round,Bees,Floral
Farm1,ELS,2013,1,202,35657
Farm1,ELS,2013,2,462,41145
Farm1,ELS,2013,3,448,96699
Farm1,ELS,2014,1,451,28522
Farm1,ELS,2014,2,304,79947
Farm1,ELS,2014,3,248,72668
Farm10,HLS,2013,1,47,68157
Farm10,HLS,2013,2,209,55847
Farm10,HLS,2013,3,44,13084
Farm10,HLS,2014,1,63,40847
Farm10,HLS,2014,2,178,69013
Farm10,HLS,2014,3,399,39774
Farm11,ELS,2013,1,390,30320
Farm11,ELS,2013,2,213,47193
Farm11,ELS,2013,3,108,42812
Farm11,ELS,2014,1,166,86774
Farm11,ELS,2014,2,372,99308
Farm11,ELS,2014,3,52,96338
Farm12,ELS,2013,1,181,67215
Farm12,ELS,2013,2,422,71384
Farm12,ELS,2013,3,323,62408
Farm12,ELS,2014,1,341,18252
Farm12,ELS,2014,2,176,66807
Farm12,ELS,2014,3,275,19641
Farm13,HLS,2013,1,387,64970
Farm13,HLS,2013,2,286,82210
Farm13,HLS,2013,3,303,62286
Farm13,HLS,2014,1,111,79770
Farm13,HLS,2014,2,441,94493
Farm13,HLS,2014,3,415,31597
Farm14,ELS,2013,1,379,29982
Farm14,ELS,2013,2,258,11384
Farm14,ELS,2013,3,80,35727
Farm14,ELS,2014,1,344,36377
Farm14,ELS,2014,2,358,62521
Farm14,ELS,2014,3,420,45443
Farm15,HLS,2013,1,90,34230
Farm15,HLS,2013,2,463,54241
Farm15,HLS,2013,3,80,99441
Farm15,HLS,2014,1,211,12430
Farm15,HLS,2014,2,334,22871
Farm15,HLS,2014,3,250,39933
Farm16,HLS,2013,1,12,61921
Farm16,HLS,2013,2,59,95163
Farm16,HLS,2013,3,451,80045
Farm16,HLS,2014,1,256,25748
Farm16,HLS,2014,2,414,55572
Farm16,HLS,2014,3,317,94931
Farm17,ELS,2013,1,137,7717
Farm17,ELS,2013,2,282,93879
Farm17,ELS,2013,3,229,40127
Farm17,ELS,2014,1,165,44847
Farm17,ELS,2014,2,474,19852
Farm17,ELS,2014,3,174,67468
Farm18,HLS,2013,1,266,57217
Farm18,HLS,2013,2,340,57232
Farm18,HLS,2013,3,262,44993
Farm18,HLS,2014,1,312,20923
Farm18,HLS,2014,2,80,68312
Farm18,HLS,2014,3,114,89889
Farm19,ELS,2013,1,415,48650
Farm19,ELS,2013,2,30,69426
Farm19,ELS,2013,3,341,70826
Farm19,ELS,2014,1,40,23998
Farm19,ELS,2014,2,130,81525
Farm19,ELS,2014,3,212,13294
Farm2,HLS,2013,1,311,84019
Farm2,HLS,2013,2,152,70256
Farm2,HLS,2013,3,208,91163
Farm2,HLS,2014,1,43,16539
Farm2,HLS,2014,2,197,65330
Farm2,HLS,2014,3,38,44210
Farm4,HLS,2013,1,451,12823
Farm4,HLS,2013,2,388,34197
Farm4,HLS,2013,3,32,19795
Farm4,HLS,2014,1,46,30849
Farm4,HLS,2014,2,494,89677
Farm4,HLS,2014,3,452,23175
Farm5,ELS,2013,1,219,50244
Farm5,ELS,2013,2,192,67332
Farm5,ELS,2013,3,192,40264
Farm5,ELS,2014,1,487,8612
Farm5,ELS,2014,2,67,63603
Farm5,ELS,2014,3,437,68064
Farm6,ELS,2013,1,44,41321
Farm6,ELS,2013,2,330,76640
Farm6,ELS,2013,3,115,50665
Farm6,ELS,2014,1,16,63469
Farm6,ELS,2014,2,352,30300
Farm6,ELS,2014,3,308,69686
Farm7,ELS,2013,1,318,89070
Farm7,ELS,2013,2,61,60583
Farm7,ELS,2013,3,287,38024
Farm7,ELS,2014,1,453,57646
Farm7,ELS,2014,2,158,54635
Farm7,ELS,2014,3,152,52931
Farm8,HLS,2013,1,49,33114
Farm8,HLS,2013,2,404,17719
Farm8,HLS,2013,3,217,34237
Farm8,HLS,2014,1,29,27071
Farm8,HLS,2014,2,109,34688
Farm8,HLS,2014,3,9,86669
Farm9,HLS,2013,1,246,65295
Farm9,HLS,2013,2,297,29301
Farm9,HLS,2013,3,403,98985
Farm9,HLS,2014,1,328,6522
Farm9,HLS,2014,2,264,51626
Farm9,HLS,2014,3,476,65892
Farm20,HLS,2013,1,442,25139
Farm20,HLS,2013,2,211,35307
Farm20,HLS,2013,3,452,78505
Farm20,HLS,2014,1,260,5610
Farm20,HLS,2014,2,442,37191
Farm20,HLS,2014,3,463,73171
Farm21,HLS,2013,1,119,29947
Farm21,HLS,2013,2,80,52002
Farm21,HLS,2013,3,23,90862
Farm21,HLS,2014,1,20,38311
Farm21,HLS,2014,2,166,81101
Farm21,HLS,2014,3,316,83142
Farm22,HLS,2013,1,219,70846
Farm22,HLS,2013,2,17,73241
Farm22,HLS,2013,3,219,34794
Farm22,HLS,2014,1,171,81972
Farm22,HLS,2014,2,276,69292
Farm22,HLS,2014,3,4,19702
Farm23,HLS,2013,1,33,49848
Farm23,HLS,2013,2,435,67773
Farm23,HLS,2013,3,389,92759
Farm23,HLS,2014,1,161,16300
Farm23,HLS,2014,2,152,46171
Farm23,HLS,2014,3,428,84377
Farm24,ELS,2013,1,445,65811
Farm24,ELS,2013,2,325,41756
Farm24,ELS,2013,3,130,38532
Farm24,ELS,2014,1,111,33542
Farm24,ELS,2014,2,42,67289
Farm24,ELS,2014,3,198,83466
Farm25,HLS,2013,1,125,51183
Farm25,HLS,2013,2,422,89407
Farm25,HLS,2013,3,249,87761
Farm25,HLS,2014,1,187,48913
Farm25,HLS,2014,2,132,29714
Farm25,HLS,2014,3,166,69898
Farm26,ELS,2013,1,394,46148
Farm26,ELS,2013,2,411,84072
Farm26,ELS,2013,3,31,93556
Farm26,ELS,2014,1,90,91628
Farm26,ELS,2014,2,451,41363
Farm26,ELS,2014,3,187,77359
Farm27,ELS,2013,1,289,57727
Farm27,ELS,2013,2,15,61910
Farm27,ELS,2013,3,69,46378
Farm27,ELS,2014,1,365,50663
Farm27,ELS,2014,2,314,62178
Farm27,ELS,2014,3,458,99923
Farm28,ELS,2013,1,111,61389
Farm28,ELS,2013,2,151,57768
Farm28,ELS,2013,3,102,71293
Farm28,ELS,2014,1,412,89784
Farm28,ELS,2014,2,70,59764
Farm28,ELS,2014,3,150,51400
Farm29,HLS,2013,1,437,83546
Farm29,HLS,2013,2,291,77431
Farm29,HLS,2013,3,448,88829
Farm29,HLS,2014,1,339,83803
Farm29,HLS,2014,2,334,68649
Farm29,HLS,2014,3,221,22463
Farm30,HLS,2013,1,56,83228
Farm30,HLS,2013,2,24,91162
Farm30,HLS,2013,3,475,94153
Farm30,HLS,2014,1,460,74680
Farm30,HLS,2014,2,300,51992
Farm30,HLS,2014,3,211,57574
Farm31,ELS,2013,1,80,81697
Farm31,ELS,2013,2,153,24431
Farm31,ELS,2013,3,98,15390
Farm31,ELS,2014,1,123,72677
Farm31,ELS,2014,2,408,56515
Farm31,ELS,2014,3,268,21716
Farm32,HLS,2013,1,261,29893
Farm32,HLS,2013,2,2,49126
Farm32,HLS,2013,3,295,7357
Farm32,HLS,2014,1,89,63925
Farm32,HLS,2014,2,138,69766
Farm32,HLS,2014,3,280,99426
Farm33,HLS,2013,1,475,76476
Farm33,HLS,2013,2,83,44030
Farm33,HLS,2013,3,139,97061
Farm33,HLS,2014,1,123,34262
Farm33,HLS,2014,2,146,39623
Farm33,HLS,2014,3,30,24448
Farm34,ELS,2013,1,411,36264
Farm34,ELS,2013,2,391,19294
Farm34,ELS,2013,3,55,98354
Farm34,ELS,2014,1,319,10238
Farm34,ELS,2014,2,97,8201
Farm34,ELS,2014,3,13,89097
Farm35,HLS,2013,1,169,92427
Farm35,HLS,2013,2,391,77849
Farm35,HLS,2013,3,204,64903
Farm35,HLS,2014,1,485,62322
Farm35,HLS,2014,2,306,99582
Farm35,HLS,2014,3,259,35836
Farm36,ELS,2013,1,236,99167
Farm36,ELS,2013,2,431,58636
Farm36,ELS,2013,3,126,52833
Farm36,ELS,2014,1,456,82553
Farm36,ELS,2014,2,20,26856
Farm36,ELS,2014,3,133,86840
Farm37,HLS,2013,1,91,8536
Farm37,HLS,2013,2,55,19123
Farm37,HLS,2013,3,2,30120
Farm37,HLS,2014,1,341,61452
Farm37,HLS,2014,2,287,93357
Farm37,HLS,2014,3,264,80876
Farm38,ELS,2013,1,28,51467
Farm38,ELS,2013,2,299,12370
Farm38,ELS,2013,3,336,89474
Farm38,ELS,2014,1,382,84081
Farm38,ELS,2014,2,238,47218
Farm38,ELS,2014,3,111,96768
Farm39,HLS,2013,1,216,61372
Farm39,HLS,2013,2,91,84046
Farm39,HLS,2013,3,270,21805
Farm39,HLS,2014,1,92,88696
Farm39,HLS,2014,2,236,30075
Farm39,HLS,2014,3,145,92885
Farm40,HLS,2013,1,435,40900
Farm40,HLS,2013,2,17,12618
Farm40,HLS,2013,3,25,14005
Farm40,HLS,2014,1,37,40059
Farm40,HLS,2014,2,224,24903
Farm40,HLS,2014,3,302,98916
Farm41,ELS,2013,1,439,76512
Farm41,ELS,2013,2,106,47558
Farm41,ELS,2013,3,94,8474
Farm41,ELS,2014,1,398,89722
Farm41,ELS,2014,2,393,26262
Farm41,ELS,2014,3,9,99404
Farm42,HLS,2013,1,395,9412
Farm42,HLS,2013,2,62,70556
Farm42,HLS,2013,3,425,71235
Farm42,HLS,2014,1,285,32513
Farm42,HLS,2014,2,114,40504
Farm42,HLS,2014,3,196,20379
Farm43,HLS,2013,1,276,68666
Farm43,HLS,2013,2,131,14021
Farm43,HLS,2013,3,260,42009
Farm43,HLS,2014,1,96,49881
Farm43,HLS,2014,2,391,22790
Farm43,HLS,2014,3,491,93047
Farm44,HLS,2013,1,343,14031
Farm44,HLS,2013,2,146,16127
Farm44,HLS,2013,3,275,88754
Farm44,HLS,2014,1,420,8129
Farm44,HLS,2014,2,130,71404
Farm44,HLS,2014,3,446,84588
Farm45,HLS,2013,1,111,6634
Farm45,HLS,2013,2,277,52512
Farm45,HLS,2013,3,344,15824
Farm45,HLS,2014,1,366,7376
Farm45,HLS,2014,2,108,6040
Farm45,HLS,2014,3,4,9931
Farm46,ELS,2013,1,11,10401
Farm46,ELS,2013,2,228,72768
Farm46,ELS,2013,3,127,15349
Farm46,ELS,2014,1,282,49373
Farm46,ELS,2014,2,131,39160
Farm46,ELS,2014,3,314,24714
Farm47,HLS,2013,1,171,70921
Farm47,HLS,2013,2,162,9809
Farm47,HLS,2013,3,373,44433
Farm47,HLS,2014,1,491,96248
Farm47,HLS,2014,2,146,90508
Farm47,HLS,2014,3,300,40820
Farm48,HLS,2013,1,2,69804
Farm48,HLS,2013,2,321,54094
Farm48,HLS,2013,3,86,23026
Farm48,HLS,2014,1,119,75479
Farm48,HLS,2014,2,276,83091
Farm48,HLS,2014,3,37,68759
Farm49,HLS,2013,1,443,12438
Farm49,HLS,2013,2,392,40289
Farm49,HLS,2013,3,177,83532
Farm49,HLS,2014,1,444,54459
Farm49,HLS,2014,2,499,22171
Farm49,HLS,2014,3,320,85045
Farm50,ELS,2013,1,150,67849
Farm50,ELS,2013,2,316,9649
Farm50,ELS,2013,3,364,20376
Farm50,ELS,2014,1,69,96729
Farm50,ELS,2014,2,209,55704
Farm50,ELS,2014,3,146,7042
Farm51,ELS,2013,1,319,48696
Farm51,ELS,2013,2,96,83895
Farm51,ELS,2013,3,134,89387
Farm51,ELS,2014,1,19,57168
Farm51,ELS,2014,2,437,10017
Farm51,ELS,2014,3,76,95374
Farm52,HLS,2013,1,104,56445
Farm52,HLS,2013,2,240,58391
Farm52,HLS,2013,3,412,85996
Farm52,HLS,2014,1,65,17685
Farm52,HLS,2014,2,389,32668
Farm52,HLS,2014,3,207,71475
Farm53,HLS,2013,1,382,98076
Farm53,HLS,2013,2,455,90989
Farm53,HLS,2013,3,355,52843
Farm53,HLS,2014,1,147,83695
Farm53,HLS,2014,2,317,22348
Farm53,HLS,2014,3,291,11246
Farm54,ELS,2013,1,399,39248
Farm54,ELS,2013,2,310,69567
Farm54,ELS,2013,3,234,52347
Farm54,ELS,2014,1,357,80537
Farm54,ELS,2014,2,214,42609
Farm54,ELS,2014,3,361,51844
Farm55,HLS,2013,1,344,56254
Farm55,HLS,2013,2,105,91669
Farm55,HLS,2013,3,376,19451
Farm55,HLS,2014,1,170,47398
Farm55,HLS,2014,2,289,76704
Farm55,HLS,2014,3,83,78988
Farm56,ELS,2013,1,414,32063
Farm56,ELS,2013,2,100,90063
Farm56,ELS,2013,3,238,71098
Farm56,ELS,2014,1,375,66478
Farm56,ELS,2014,2,154,99881
Farm56,ELS,2014,3,369,26799
Farm57,HLS,2013,1,293,13996
Farm57,HLS,2013,2,329,42824
Farm57,HLS,2013,3,310,16274
Farm57,HLS,2014,1,242,11135
Farm57,HLS,2014,2,394,39814
Farm57,HLS,2014,3,395,34058
Farm58,ELS,2013,1,362,52203
Farm58,ELS,2013,2,345,22170
Farm58,ELS,2013,3,38,22824
Farm58,ELS,2014,1,497,14764
Farm58,ELS,2014,2,82,43482
Farm58,ELS,2014,3,456,5872
Farm59,ELS,2013,1,453,50482
Farm59,ELS,2013,2,484,34516
Farm59,ELS,2013,3,289,44122
Farm59,ELS,2014,1,121,92104
Farm59,ELS,2014,2,335,76392
Farm59,ELS,2014,3,499,24772
Farm60,ELS,2013,1,280,33610
Farm60,ELS,2013,2,224,23367
Farm60,ELS,2013,3,489,51379
Farm60,ELS,2014,1,394,64937
Farm60,ELS,2014,2,380,13426
Farm60,ELS,2014,3,331,47727
Farm61,ELS,2013,1,238,89472
Farm61,ELS,2013,2,482,92407
Farm61,ELS,2013,3,92,34646
Farm61,ELS,2014,1,464,41727
Farm61,ELS,2014,2,409,17926
Farm61,ELS,2014,3,143,51590
Farm62,ELS,2013,1,162,39223
Farm62,ELS,2013,2,411,98837
Farm62,ELS,2013,3,380,35888
